	tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
152163	tt1073223	movie	Detective Conan: Countdown to Heaven	2001	100	Action,Animation,Crime	7.6	2597
152166	tt1073241	movie	Nothing But the Truth	2008	108	Crime,Drama,Thriller	7.2	38965
152172	tt10733228	movie	Gehraiyaan	2022	148	Drama,Romance	5.8	43841
152179	tt10734864	movie	Honeydew	2020	106	Horror	4.4	2261
152182	tt10734928	movie	The Legend of Hei	2019	101	Action,Adventure,Animation	7.3	1928
152183	tt1073498	movie	Meet the Spartans	2008	87	Comedy,Fantasy	2.8	109505
152187	tt10735202	movie	Helen	2019	117	Drama,Thriller	7.7	3626
152192	tt1073535	movie	Frontier of the Dawn	2008	106	Drama,Romance	6.4	1211
152196	tt10735686	movie	Toxikoma	2021	124	Biography,Drama	7.0	2489
152197	tt10735778	movie	Lethal Kittens	2020	110	Comedy	7.8	1137
152199	tt10736336	movie	Love, Spells and All That	2019	96	Drama	6.7	1263
152204	tt10736580	movie	Spell	2020	91	Horror,Thriller	5.5	9123
152213	tt1073673	movie	Supravietuitorul	2008	106	Crime	6.0	1186
152217	tt10737918	movie	Shin Ultraman	2022	118	Action,Adventure,Drama	6.5	2547
152223	tt10738536	movie	Delicious	2021	112	Comedy,Drama,History	7.0	4201
152230	tt10738906	movie	The Feast	2021	93	Drama,Horror,Mystery	5.5	3260
152238	tt10739666	movie	Satyameva Jayate 2	2021	138	Action,Crime,Drama	4.1	15926
152250	tt10741542	movie	Sherni	2021	131	Action,Adventure,Drama	6.8	11351
152252	tt1074191	movie	The Betrayed	2008	98	Crime,Drama,Mystery	5.9	2400
152256	tt1074213	movie	Sorry, If I Love You	2008	103	Romance	6.1	5270
152257	tt1074214	movie	The Six Wives of Henry Lefay	2009	95	Comedy	5.1	3373
152266	tt10743534	movie	The Oak Room	2020	90	Mystery,Thriller	5.6	2173
152276	tt1074638	movie	Skyfall	2012	143	Action,Adventure,Thriller	7.8	708239
152292	tt1074929	movie	Adoration	2008	101	Drama,Romance	6.3	3426
152304	tt10749760	movie	A Son	2019	95	Drama	7.3	1153
152306	tt10749786	movie	Atlantis	2019	108	Drama,War	6.8	2454
152311	tt10749998	movie	The Money	2019	118	Action,Adventure,Comedy	4.7	1137
152312	tt10750020	movie	Pattas	2020	141	Action,Drama	5.6	1680
152322	tt1075110	movie	The Misfortunates	2009	108	Comedy,Drama	7.3	11134
152324	tt1075113	movie	Don't Look Back	2009	111	Drama,Horror,Mystery	5.8	7131
152325	tt1075114	movie	Tutta la vita davanti	2008	117	Comedy,Drama,Romance	6.9	3250
152331	tt10751548	movie	Mudda 370 J&K	2019	132	Action,Drama	7.8	1065
152333	tt10752004	movie	Love Hard	2021	104	Comedy,Romance	6.3	56181
152345	tt1075417	movie	Race to Witch Mountain	2009	98	Action,Adventure,Family	5.7	61239
152346	tt1075419	movie	Shinjuku Incident	2009	119	Action,Crime,Drama	6.9	13118
152350	tt10756134	movie	The Ghost in the Darkness	2019	65	Horror	3.7	1630
152352	tt10756184	movie	Saloum	2021	84	Action,Horror,Thriller	6.2	2164
152354	tt10756374	movie	A Night of Horror: Nightmare Radio	2019	104	Horror,Mystery	5.0	2539
152362	tt1075747	movie	Jonah Hex	2010	81	Action,Drama,Fantasy	4.7	60103
152364	tt1075749	movie	Reykjavik Whale Watching Massacre	2009	87	Comedy,Horror	4.8	2036
152383	tt10761694	movie	Tadap	2021	126	Action,Drama,Romance	5.1	4627
152386	tt1076251	movie	Help Me, Eros	2007	103	Drama	6.0	1085
